subset,n_members,mean_auc,auc_Site_A,auc_Site_B,auc_Site_C,auc_Site_D,auc_Site_E
mc+mc_sa+sa_strat+mc_sa_w3,4,0.8424872329548878,0.8001216154586761,0.8757865121822768,0.8273684210526315,0.8431648419113884,0.8659947741694661
mc+mc_sa+mc_sa_w3,3,0.8420656864792756,0.7994608381332027,0.8756929622751337,0.8314641148325359,0.843190422592858,0.8605200945626479
mc+mc_sa,2,0.8417460442786424,0.7988351941624581,0.8697508107658619,0.8292440191387559,0.840674988915038,0.8702252084110986
mc+mc_sa+sa_strat,3,0.8416582361927472,0.799485161224938,0.8705373229481387,0.8250334928229665,0.8405215048262219,0.8727136991414708
mc+mc_sa+mc_sa_w3+e09,4,0.84078610958036,0.7999912166613179,0.8758800620894198,0.8229665071770335,0.8430795729731575,0.8620131890008709
mc+mc_sa+sa_strat+mc_sa_w3+e09,5,0.8407001694511778,0.8001006705741263,0.8755093272722232,0.8208995215311004,0.8427384972202326,0.8642528306582058
mc+mc_sa+sa_strat+mc_sa_w3+sa,5,0.8406388139794727,0.7990635609681942,0.8742169526290989,0.820555023923445,0.8422439373784917,0.8671145949981337
mc+sa_strat+mc_sa_w3,3,0.8406209279434329,0.798941945509518,0.8749688166976191,0.8220095693779904,0.843429175619905,0.8637551325121314
mc+mc_sa+mc_sa_w3+sa,4,0.8405975512019028,0.7988007364491664,0.8737422734706323,0.8229282296650718,0.8431392612299191,0.8643772551947243
mc+mc_sa+sa_strat+e09,4,0.8397506000041155,0.7993628701248248,0.8705407877595145,0.8182200956937798,0.8407773116409154,0.8698519348015428
mc+mc_sa+sa_strat+mc_sa_w3+e09+sa,6,0.8397418048071202,0.7993297636944074,0.8741926989494693,0.8171866028708134,0.8420051843514446,0.8659947741694662
mc+mc_sa+mc_sa_w3+e09+sa,5,0.8395387308882345,0.7990426160836445,0.8741753748925909,0.8182583732057416,0.842337733210546,0.86387955704865
mc+mc_sa+sa_strat+sa,4,0.839498906371934,0.7984311605830786,0.8688187765058071,0.8175311004784689,0.8402486442238821,0.8724648500684336
